title,link,address,company,short_description,rich_description,salary,skils
IT Product owner,https://hh.ru/vacancy/131387659?query=it&hhtmFrom=vacancy_search_list,"Бишкек, улица Ивана Панфилова, 178",Sun IT,Использовать свой предыдущий опыт и предложить что-то новое - мы открыты для новых идей. Имеете опыт работы от 1 года...,,,
Системный / бизнес-аналитик (IT),https://hh.ru/vacancy/131397541?query=it&hhtmFrom=vacancy_search_list,Москва,StartUpix,"Сильные коммуникационные навыки (устные и письменные): умение ясно и структурно доносить мысли, выстраивать конструктивный диалог и фиксировать договорённости.",,"1 500 – 3 000 ₽ за час, на руки",
Таргетолог (IT/EdTech),https://hh.ru/vacancy/131879322?query=it&hhtmFrom=vacancy_search_list,"Алматы, улица Карасай батыра, 140","Нек. орг. Авторская Школа Жании Аубакировой, Учреждение",,,"от 150 000 ₸ за месяц, на руки",
IT-менеджер (отель),https://hh.ru/vacancy/130536851?query=it&hhtmFrom=vacancy_search_list,Москва,ООО АРБАТ ХОСПИТАЛИТИ,"Высшее профессиональное (техническое) образование. Знание английского языка - большое преимущество. Знание и опыт настройки серверов, сетевого оборудования. Опыт работы с MS...",,,
Аналитик IT,https://hh.ru/vacancy/131973481?query=it&hhtmFrom=vacancy_search_list,"Петрозаводск, Московская улица, 16",ГБУЗ Республики Карелия Республиканский медицинский информационно-аналитический центр,Знание систем управления базами данных. Уверенное владение SQL. Навыки фомирования выборки данных по сложным критериям. Опыт работы с реляционными СУБД.,,"46 000 – 47 000 ₽ за месяц, на руки",
Юрисконсульт IT / Юрист,https://hh.ru/vacancy/131994188?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ITG Corporation,"Сильные знания в области гражданского права, интеллектуальной собственности, законодательства о персональных данных, налогового законодательства, международного частного права. Навыки работы с...",,,
Администратор IT проектов,https://hh.ru/vacancy/131098510?query=it&hhtmFrom=vacancy_search_list,Москва,АО Государственная транспортная лизинговая компания,"Опыт работы на аналогичных позициях от 3-х лет. Знание проектного менеджмента (методология, методы, инструменты). Опыт ведения документооборота, работа в...",,,
Технический специалист / IT-специалист,https://hh.ru/vacancy/131887887?query=it&hhtmFrom=vacancy_search_list,Москва,ИП Бакулина Виктория Анатольевна,умеет автоматизировать процессы. * понимает бизнес-логику. Hard skills (обязательные). * опыт работы с **1С Комплексная автоматизация. * опыт работы с 1...,,"от 100 000 ₽ за месяц, на руки",
Технический специалист (IT),https://hh.ru/vacancy/131260491?query=it&hhtmFrom=vacancy_search_list,Алматы,Sulpak,Опыт не нужен — всему научим с нуля. Чем будешь заниматься: Если есть опыт или образование в,,,
Техник монтажник (it),https://hh.ru/vacancy/131821402?query=it&hhtmFrom=vacancy_search_list,Усть-Каменогорск,ТОО Сей-Нар,"Средне-специальное техническое профильное образование. Грамотная речь, вежливость и пунктуальность, управление конфликтами, навыки общения с простыми пользователями. Обучаемость, умение работать...",,,
IT-специалист,https://hh.ru/vacancy/131186392?query=it&hhtmFrom=vacancy_search_list,"Актау, микрорайон 3Б, 55/1",ТОО ADVER.KZ,"Администрирование сетевого оборудования Mikrotik. Отличное понимание модели OSI и TCP/IP. Маршрутизация: static routes. Коммутация: VLAN, trunk. NAT. DHCP, DNS.",,"от 250 000 ₸ за месяц, на руки",
IT-Инженер (Системный администратор),https://hh.ru/vacancy/132001467?query=it&hhtmFrom=vacancy_search_list,"Воронеж, р-н Ленинский",ООО Би Ай Решения,Опыт администрирования серверов на Windows Server (2016/2019/2022) и Linux (Ubuntu/Debian/CentOS). Уверенная работа с виртуальными машинами: Hyper...,,"от 55 000 ₽ за месяц, на руки",
Инженера проектировщика IT-систем,https://hh.ru/vacancy/132001220?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ЧЕСКА,Знание современного оборудования и решений для,,,
Юрист IT (Цифровой рубль),https://hh.ru/vacancy/131210205?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Мещанский",Центральный банк Российской Федерации (Банк России),"Опыт работы по юридической специальности в области правового регулирования информационных технологий, цифровых решений, искусственного интеллекта, в частности в",,,
Руководитель IT отдела,https://hh.ru/vacancy/128866673?query=it&hhtmFrom=vacancy_search_list,Москва,ООО КомСтрой,"Высшее образование. Опыт работы системным администратором не менее 5 лет, в должности руководителя отдела/группы от 2х лет.",,"150 000 – 200 000 ₽ за месяц, на руки",
Инженера проектировщика IT-систем,https://hh.ru/vacancy/132001220?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ЧЕСКА,Знание современного оборудования и решений для,,,
Юрист IT (Цифровой рубль),https://hh.ru/vacancy/131210205?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Мещанский",Центральный банк Российской Федерации (Банк России),"Опыт работы по юридической специальности в области правового регулирования информационных технологий, цифровых решений, искусственного интеллекта, в частности в",,,
Руководитель IT отдела,https://hh.ru/vacancy/128866673?query=it&hhtmFrom=vacancy_search_list,Москва,ООО КомСтрой,"Высшее образование. Опыт работы системным администратором не менее 5 лет, в должности руководителя отдела/группы от 2х лет.",,"150 000 – 200 000 ₽ за месяц, на руки",
Спикер направления IT,https://hh.ru/vacancy/131987706?query=it&hhtmFrom=vacancy_search_list,Москва,Ventra,"География: Россия, Казахстан, Узбекистан, Беларусь. Публичность внутри крупного",,,
Менеджер проекта (IT/Digital),https://hh.ru/vacancy/131394244?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Тверской",ARK,Высшее образование и опыт работы от 3 лет в управлении,,,
Руководитель отдела IT,https://hh.ru/vacancy/131986522?query=it&hhtmFrom=vacancy_search_list,"Пермь, р-н Дзержинский",Автомобильный холдинг Экскурс,...практик организации,,"120 000 – 150 000 ₽ за месяц, на руки",
Менеджер IT проектов,https://hh.ru/vacancy/131986493?query=it&hhtmFrom=vacancy_search_list,Москва,ООО PepsiCo,"Опыт работы в управлении проектами более 3 лет, предпочтительно в сфере ИТ, digital или transformation. Опыт реализации региональных проектов, включая...",,,
Менеджер по продажам (IT),https://hh.ru/vacancy/131998462?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Пресненский",ООО Сентал,Экспертиза в,,,
IT-рекрутер (Gamedev),https://hh.ru/vacancy/131699547?query=it&hhtmFrom=vacancy_search_list,Минск,Леста Игры,"Опыт рекрутинга в геймдеве не менее 3 лет (работа со стримами арт / разработка / инфраструктура). Умение приоритизировать и структурировать задачи, эффективно...",,,
Инженер технической поддержки IT,https://hh.ru/vacancy/131996593?query=it&hhtmFrom=vacancy_search_list,Москва,Авилон Автомобильная Группа,"Знание перечня основных и второстепенных элементов ИТ инфраструктуры. Знание ПК на уровне администратора. Работа с основным ПО АРМ (ОС, Офисный...",,"104 000 ₽ за месяц, на руки",
Специалист группы IT,https://hh.ru/vacancy/131983733?query=it&hhtmFrom=vacancy_search_list,"Уфа, р-н Орджоникидзевский",Филиал ПАО АНК Башнефть Башнефть-УНПЗ,"Высшее профессиональное (техническое), среднее профессиональное образование. С высшим профессиональным образованием без предъявления требований к стажу. Со средним профессиональным образованием, опыт...",,"45 000 – 52 000 ₽ за месяц, на руки",
Менеджер по продажам в IT,https://hh.ru/vacancy/129295584?query=it&hhtmFrom=vacancy_search_list,Казань,MarketGuru,"Успешный опыт в продажах от 1 года. Умение продавать, знание техник продаж. Желание обучаться и становиться лучше. Умение самостоятельно организовывать...",,"от 120 000 ₽ за месяц, до вычета налогов",
Менеджер IT-проектов,https://hh.ru/vacancy/131534574?query=it&hhtmFrom=vacancy_search_list,Москва,АНО ЦИСМ,Опыт от 2-х лет в управлении,,,
Системный администратор / IT специалист,https://hh.ru/vacancy/131710320?query=it&hhtmFrom=vacancy_search_list,"Уфа, р-н Кировский",ООО МобилБетон,высшее образование. -опыт работы от 3х лет.,,"90 000 – 100 000 ₽ за месяц, до вычета налогов",
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131547110?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,The AnyLogic Company,Зоны ответственности: - Более 5 лет hands-on опыта с System Operations / DevOps. - Опыт руководства инженерными командами. - Опыт продуктовой разработки и...,,,
IT-Мастер / Начинающий мастер ПК,https://hh.ru/vacancy/131438004?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Ок Комфорт-Сервис,,,"от 140 000 ₽ за месяц, на руки",
Менеджер по закупкам (IT),https://hh.ru/vacancy/131878954?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ИТК СИСТЕМА,Знание английского языка на уровне intermediate и выше. Знание поставщиков и производителей,,,
Financial Controller (IT Company),https://hh.ru/vacancy/131090734?query=it&hhtmFrom=vacancy_search_list,Москва,АИМОР,"Самостоятельность, системное мышление и способность работать с большим объёмом данных. Опыт работы в",,,
Преподаватель IT в мини-группах,https://hh.ru/vacancy/131553040?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Онлайн-школа Тетрика,Опыт преподавания в мини-группах школьникам (7-15 лет). – Знание и опыт работы по направлениям: Scratch (обязательно) и Python. –,,,
Специалист по оптимизации IT-решений / СТО / Руководитель IT-департамента (part time),https://hh.ru/vacancy/131438181?query=it&hhtmFrom=vacancy_search_list,Ростов-на-Дону,AVBINVEST LIMITED,"Высокий уровень технической экспертизы: глубокое понимание современных технологий разработки программного обеспечения, архитектуры распределенных систем, принципов CI/CD и инфраструктуры облачных...",,,
Начинающий специалист IT,https://hh.ru/vacancy/131870428?query=it&hhtmFrom=vacancy_search_list,"Ижевск, р-н Октябрьский",ООО Центр Информационных Технологий БАРС,Выпускника или так же студента последних курсов с профильным,,"от 30 000 ₽ за месяц, на руки",
IT специалист технической поддержки пользователей,https://hh.ru/vacancy/131886610?query=it&hhtmFrom=vacancy_search_list,Боровский муниципальный округ,ООО Очередной завод,"Опыт работы в технической поддержке от 3 лет, желательно на производстве или в крупной компании. Отличное знание Windows, понимание принципов...",,"от 60 000 ₽ за месяц, на руки",
IT специалист технической поддержки пользователей,https://hh.ru/vacancy/131886611?query=it&hhtmFrom=vacancy_search_list,Боровский муниципальный округ,ООО Очередной завод,"Опыт работы в технической поддержке от 3 лет, желательно на производстве или в крупной компании. Отличное знание Windows, понимание принципов...",,"от 60 000 ₽ за месяц, на руки",
Специалист поддержки клиентов в IT компанию,https://hh.ru/vacancy/132004752?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Хьюнет,Ты умеешь объяснять сложное простым и понятным языком. У тебя грамотная письменная речь. Ты готов ежедневно помогать клиентам.,,,
Менеджер по продажам IT-услуг,https://hh.ru/vacancy/131191994?query=it&hhtmFrom=vacancy_search_list,Нижний Новгород,ООО Центр Бизнес Автоматизации,Что ты будешь делать:,,,
"PR-специалист (IT, финтех)",https://hh.ru/vacancy/131543131?query=it&hhtmFrom=vacancy_search_list,Москва,Маслов : агентство,Опыт работы от 6 месяцев на позиции PR-специалиста. Знания английского не ниже Intermediate. Грамотный и качественный копирайтинг: умение хорошо...,,,
IT Product Manager / R&D Manager,https://hh.ru/vacancy/130020216?query=it&hhtmFrom=vacancy_search_list,Гуанчжоу,MAREE,"Опыт работы Product Manager / Project Manager. Умение вести 5–10 проектов параллельно и не терять темп. Сильную системность: статусы, этапы...",,,
Лид коммуникаций в IT-маркетинге,https://hh.ru/vacancy/132000075?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,JUG Ru Group,опыт работы в,,,
