title,link,address,company,short_description,rich_description,salary,skils
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131966604?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО ТитанСтройТехнологии,Высшее образование (,,"220 000 – 250 000 ₽ за месяц, на руки",
Менеджер IT проектов,https://hh.ru/vacancy/131943793?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Верста,Опыт управления,,,
Менеджер по продажам B2B (IT оборудование),https://hh.ru/vacancy/131236874?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Импульс Телеком,Самое главное – желание развиваться в,,"от 200 000 ₽ за месяц, на руки",
"Менеджер по продажам ПО (B2B, IT-автоматизация)",https://hh.ru/vacancy/131241455?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Алтек,Понимание цикла продаж сложных решений. Опыт в,,"140 000 – 210 000 ₽ за месяц, до вычета налогов",
Бизнес-аналитик в IT,https://hh.ru/vacancy/131787711?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Delaweb,Опыт работы бизнес-аналитиком в заказной разработке разных проектов в,,"150 000 – 200 000 ₽ за месяц, на руки",
Заместитель начальника IT отдела,https://hh.ru/vacancy/131954797?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,АО ЗАСЛОН,Высшее образование. Опыт работы по организации и управлению работы ИТ-подразделения. Комплексный подход и своевременная отчётность. Гибкость и умение найти...,,,
Системный администратор/IT-специалист,https://hh.ru/vacancy/131951969?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО БалтФрут-Северная Столица,Знания по работе с ЭЦП. Требования: Опыт работы системным администратором от 3-х лет. Знание операционных систем Windows и Linux.,,"от 100 000 ₽ за месяц, на руки",
IT инженер,https://hh.ru/vacancy/131915083?query=it&hhtmFrom=vacancy_search_list,Ханты-Мансийский автономный округ — Югра,ЭйчарОсы,Среднее или высшее техническое образование. Знание Linux. Опыт в аналогичной сфере не менее 3 лет.,,,
Сборщик товара с ТСД на теплый мини склад в IT компанию Яндекс (кладовщик комплектовщик),https://hh.ru/vacancy/129716788?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Найм персонал PRO,"НЕ ПРОДУКТЫ - медкнижка не нужна). (без штрафов, спокойный темп)!. Перемещать лёгкие коробки по складу на тележке — спортзал не нужен!",,"от 170 000 ₽ за месяц, на руки",
Водитель на иномарку компании в IT-холдинг (Категории B),https://hh.ru/vacancy/131629243?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ГРУЗМАСТЕР,"Права категории B. Стаж от 1 года. Нормальное, аккуратное вождение.",,"до 199 000 ₽ за месяц, до вычета налогов",
Менеджер в IT компанию,https://hh.ru/vacancy/131068447?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,М-СТАЙЛ,"ВЫСШЕЕ ОБРАЗОВАНИЕ. Наличие коммуникативных навыков, активность, нацеленность на результат. Позитивный настрой, грамотная речь и желание зарабатывать.",,"от 120 000 ₽ за месяц, на руки",
Менеджер по продажам (IT),https://hh.ru/vacancy/129582998?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,М-СТАЙЛ,"Высшее образование (законченное или в процессе получения ). Если ты ещё студент – главное, чтобы мог работать полный день в офисе.",,"от 120 000 ₽ за месяц, на руки",
Юрист в сфере IT/IP (по интеллектуальной собственности),https://hh.ru/vacancy/131968442?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Dmitrenko Legal,"Законченное высшее юридическое образование. Опыт работы в сфере интеллектуальной собственности обязателен. Навыки ведения деловых переговоров, навыки выступлений в судах.",,"до 140 000 ₽ за месяц, на руки",
Менеджер по продажам медицинских IT-решений,https://hh.ru/vacancy/131964149?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО КВАНТ,Успешный опыт В2В продаж от 1 года. Опыт продаж,,,
Менеджер по продажам в IT компанию,https://hh.ru/vacancy/131963707?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО КомпасЛидера,Опыт в продажах (B2B/B2C) или сильные навыки переговоров. Грамотная речь и умение убеждать.,,"80 000 – 200 000 ₽ за месяц, до вычета налогов",
