title,link,address,company,short_description,rich_description,salary,skils
Дизайнер-верстальщик,https://hh.ru/vacancy/131463628?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"рабочий посёлок Скоропусковский, территория Производственная Зона, 28",ООО Техноэкспорт,"Опыт работы в сфере графического дизайна не менее 1 года. Уверенный пользователь ПК, 1С:ДО. Владение Photoshop, Illustrator (CorelDraw...",,"90 000 – 100 000 ₽ за месяц, на руки",
Графический дизайнер/Дизайнер инфографики,https://hh.ru/vacancy/131460635?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Новороссийск, р-н Южный",Stimul-web,"Опыт в графическом дизайне. Понимание принципов продающего визуала. Владение Figma / Photoshop / Illustrator. Чувство композиции, аккуратность, внимание к деталям.",,,
Графический / коммуникационный дизайнер,https://hh.ru/vacancy/131579200?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО Современные информационные технологии,Имеешь профессиональный уровень владения графическими редакторами для работы с векторной и растровой графикой (Figma - основной инструмент в работе).,,,
Дизайнер по рекламе,https://hh.ru/vacancy/131579656?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Красногорск,ООО Арлайт РУС,"Навыки в анимации и создании HTML5-баннеров (Google Web Designer, Animate). Желание расти, учиться. Будет плюсом: опыт работы с...",,,
Ведущий UX/UI-дизайнер (веб и мобильная разработка),https://hh.ru/vacancy/131394118?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Coding Team,Опыт работы,,"160 000 – 180 000 ₽ за месяц, на руки",
Дизайнер (сеть клиник),https://hh.ru/vacancy/131562065?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Сеть клиник Подружки,"Обязателен опыт работы в косметической, фармацевтической отрасли или в сфере beauty/медицины (салоны красоты, клиники). Инструменты: свободное владение Adobe Creative...",,,
Дизайнер сайтов на Tilda,https://hh.ru/vacancy/131295754?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Калуга, улица Достоевского, 25",MAXVAL Marketing&Consulting,"уверенный пользователь ПК. * минимальное понимание SEO. * коммуникабельность, грамотная устная и письменная речь. * пунктуальность и внимание к деталям. * инициативность и желание...",,,
UX/UI-дизайнер,https://hh.ru/vacancy/129632568?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Бетховен сеть зоомагазинов,"Опыт работы: от 2 лет в сфере UI/UX дизайна. Профессиональные навыки такие как: - Уверенное владение Figma, Adobe Photoshop, Illustrator. -",,"до 180 000 ₽ за месяц, до вычета налогов",
UX/UI-дизайнер,https://hh.ru/vacancy/131541154?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Елабужский район, Особая экономическая зона Алабуга",Алабуга. Служба стратегического развития,Опыт проектирования новых интерфейсов. Умение разрабатывать адаптивные интерфейсы для,,"от 157 500 ₽ за месяц, до вычета налогов",
Middle UI/UX дизайнер,https://hh.ru/vacancy/130833121?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Правительство Москвы,...,,,
Дизайнер презентаций в департамент стратегии [МТС Веб Сервисы],https://hh.ru/vacancy/131302465?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,"""МТС"", Дизайн",Опыт работы,,,
Дизайнер,https://hh.ru/vacancy/131164268?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Москва, р-н Нагатино-Садовники",КДР,"Портфолио ваших лучших шаблонов прикрепляйте в сопроводительном письме. Резюме без портфолио не рассматриваются. Продвинутый пользователь продуктов Adobe (Illustrator, Photoshop, After...",,"70 000 – 90 000 ₽ за месяц, на руки",
UX/UI-дизайнер,https://hh.ru/vacancy/131501865?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Пенза, р-н Ленинский",Агентство digital-маркетинга,"Наличие актуального портфолио выполненных проектов. Отличное владение графическими пакетами: Adobe Photoshop, Figma, Adobe Illustrator/Coral Draw. Понимание адаптивного дизайна.",,,
UX/UI-дизайнер,https://hh.ru/vacancy/131498934?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Минск,ООО Студия Сташевского,Опыт работы,,,
Моушн-дизайнер,https://hh.ru/vacancy/131428795?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Воронеж, р-н Коминтерновский",Креативное агентство FABULA,креативное агентство FABULA. — Щи Продакшен. — Опыт работы в моушен-дизайне и 3D. — Опыт работы в видеомонтаже. — Опыт работы от...,,"от 85 000 ₽ за месяц, на руки",
Продуктовый дизайнер,https://hh.ru/vacancy/130614433?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,"ПАО Банк ПСБ, Бизнес и инфраструктура",Опыт работы в продуктовых командах от 3-х лет. Наличие портфолио. Знание Figma. Проактивная позиция. Самостоятельность и нацеленность на результат.,,,
Графический дизайнер,https://hh.ru/vacancy/131426736?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Брянск, р-н Советский",Appzone.co,Имеете опыт создания анимационных элементов или моушн‑дизайна. Знакомы с основами,,"от 70 000 ₽ за месяц, до вычета налогов",
Дизайнер,https://hh.ru/vacancy/129871482?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЛДЦ МИБС,"наличие портфолио, которое демонстрирует необходимый опыт работы. - профессиональное владение следующими программами: Adobe Photoshop, Illustrator, InDesign, другими — опционально. - понимание основ UI...",,"75 000 – 85 000 ₽ за месяц, на руки",
Графический дизайнер,https://hh.ru/vacancy/131375694?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Балаково, Комсомольская улица, 35/1",МЕГАПОЛИС Центр Недвижимости,"Желательно, но не обязательно окончание художественной школы. Уверенное владение программами для векторной графики.",,"45 000 – 50 000 ₽ за месяц, на руки",
Моушн-дизайнер,https://hh.ru/vacancy/130171035?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Алматы,ТОО BAZIS-А Corp.,Опыт работы motion-,,,
Продуктовый дизайнер (офис г. Краснодар),https://hh.ru/vacancy/128663606?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Краснодар, р-н Центральный",МедРокет,"Опыт работы в продуктовой команде и понимание цикла разработки. Наличие кейсов в портфолио, которые вы готовы показать и обсудить.",,,
Дизайнер (Департамент маркетинга и рекламы),https://hh.ru/vacancy/131618526?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Екатеринбург,ООО Сима-ленд,"Уверенное владение Photoshop, Illustrator, Figma. Опыт создания web-баннеров, рекламных креативов. Опыт работы с нейросетями. Понимание композиции, типографики, цвета.",,"50 000 – 90 000 ₽ за месяц, на руки",
UX/UI-дизайнер,https://hh.ru/vacancy/131439883?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Брест, Пионерская улица, 52","ВараниСтройМаркет, ЧТУП","Уверенное владение Figma. Понимание принципов UX: как проектировать сценарии, заботиться о пользователе, делать удобно. Хороший UI-вкус: чувство композиции, типографики...",,,
