title,link,address,company,short_description,rich_description,salary,skils
Дизайнер-верстальщик / Разработчик контента,https://hh.ru/vacancy/131269549?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ТЭКО,"Подтверждённый опыт работы в качестве графического или web-дизайнера. Знание пакета Adobe (Ps, Ai, Id, Pr, Ae), Figma, Word, Excel...",,"70 000 – 75 000 ₽ за месяц, на руки",
Ведущий инженер-схемотехник-разработчик,https://hh.ru/vacancy/131712744?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Красногвардейский",ООО НПФ Новые Промышленные Технологии,"опыт разработки силовой преобразовательной техники (частотные преобразователи, выпрямители, активные выпрямители, инверторы, статические преобразователи; источники бесперебойного питания). - знание современной отечественной и...",,,
PHP developer,https://hh.ru/vacancy/131886424?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Петроградский",ООО Софтвайс,"Знание одного из PHP-фреймворков, Symfony/Laravel (пишем бизнес-код, используем компоненты фреймворков). Работа с СУБД PostgreSQL, на уровне оптимизации...",,"250 000 – 350 000 ₽ за месяц, на руки",
Менеджер продукта (разработчик РКО),https://hh.ru/vacancy/130002443?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ПАО Банк Санкт-Петербург,Имеете стаж работы по направлению деятельности не менее 2 лет. -опыт разработки/внедрения/реализации продуктов РКО/расчетнокассовых продуктов для ЮЛ...,,,
C# разработчик (.net 5/backend),https://hh.ru/vacancy/113880009?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,STOMODOMO GROUP,Отличное знание C# и .NET 4.8+ (особенно Linq). Отличное знание SQL. Опыт разработки коммерческого ПО на C# от...,,,
Программист 1С,https://hh.ru/vacancy/130538804?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,НПФ ТЕХИНКОМ,Знание основных принципов ведения оперативного и управленческого учета в 1С ERP с ГОЗ. Опыт оперативного учета производственных процессов.,,"от 145 000 ₽ за месяц, до вычета налогов",
Разработчик Python (Middle),https://hh.ru/vacancy/129602034?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Петроградский",Нанософт,"Уверенное владение Python 3.x и стандартными библиотеками. Практический опыт разработки API и сервисов, в том числе на FastAPI.",,,
"Веб-разработчик (ASP.NET, Angular)",https://hh.ru/vacancy/131875844?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Lasmart,"Уверенные знания TypeScript, JavaScript, HTML, CSS. Базовый опыт работы с Angular (компоненты, сервисы, шаблоны, RxJS и т.д.).",,,
Senior C#/.NET-разработчик,https://hh.ru/vacancy/131260249?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Enjoypro,Опыт коммерческой разработки на C# от 5 лет на 6-7 проектах. Глубокое понимание .NET Core и платформы .NET.,,"200 000 – 250 000 ₽ за месяц, на руки",
Аналитик-разработчик 1C,https://hh.ru/vacancy/130540475?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Группа RBI,Опыт от 2 лет аналитиком 1С или от 3 лет методистом/консультантом 1С. Глубокое знание 1С:БП...,,,
Разработчик 1С,https://hh.ru/vacancy/124854740?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Элисофт,"Опыт решения задач по 1С, связанных с интеграциями с внешними сервисами (HTTP сервисы, прямые обращения к БД, обмены с...",,,
Программист 1C,https://hh.ru/vacancy/131999656?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Василеостровский",DIY Tools,"1С:Предприятие 8.3 и 8.2 (управляемые формы, запросы, производительность). Опыт работы с API, парсинг JSON/XML (встроенный...",,,
Программист 1С,https://hh.ru/vacancy/130350075?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,АО СовПлим,"Высшее профильное образование. Знание спец программ (1С ERP, УТ 11). Аналогичный опыт работы от 3-х лет.",,"180 000 – 220 000 ₽ за месяц, до вычета налогов",
