title,link,address,company,short_description,rich_description,salary
Менеджер по закупкам (IT),https://hh.ru/vacancy/129277706?query=it&hhtmFrom=vacancy_search_list,"Ростов-на-Дону, р-н Пролетарский",БЕТСИТИ,"Опыт работы по профилю - от 2-х лет. Понимание ИТ-специфики, терминов, базовые знания по типам лицензирования ПО, типам оборудования.",,
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131806722?query=it&hhtmFrom=vacancy_search_list,"Алматы, Турксибский район, микрорайон Кайрат, 282",ТОО DSF Trading Co,"Опыт работы по Agile/Scrum или гибридным методологиям. Опыт постановки задач на AI-проекты, оценки вендоров и MVP-решений.",,
"Стажер (продажи, аналитика, IT)",https://hh.ru/vacancy/131852137?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Пресненский",ООО Медико-фармацевтический дистрибьютор,"Высшее образование по специальностям: фармацевтика, статистика, математика, экономика,",,
Senior Vendor Manager (IT подрядчики),https://hh.ru/vacancy/131984869?query=it&hhtmFrom=vacancy_search_list,Минск,ООО Эдельсофт,Английский язык Upper-Intermediate и выше (устный и письменный). Опыт работы в,,
Аккаунт менеджер / Менеджер проектов (IT),https://hh.ru/vacancy/131251805?query=it&hhtmFrom=vacancy_search_list,Москва,MillionAgents,У вас есть опыт управления проектами. Системно подходите к решению задач. Уверенно владеете SQL и Excel.,,
Наставник по IT для детей,https://hh.ru/vacancy/131630900?query=it&hhtmFrom=vacancy_search_list,"Шахты, проспект Карла Маркса, 100","KIBERone, международная кибершкола",Базовые знания в,,
Менеджер по продажам IT (текущая база),https://hh.ru/vacancy/131992038?query=it&hhtmFrom=vacancy_search_list,Москва,Первый Бит,Важно умение общаться и договариваться. Хочешь развиваться в,,
IT Project Manager (ERP / Highload / Integrations),https://hh.ru/vacancy/131992323?query=it&hhtmFrom=vacancy_search_list,"Ташкент, улица Мукими, 1/2",ООО Creative people,Что ты будешь делать: Вести проекты от идеи до продакшна. Ты не просто PM — ты понимаешь как работает система.,,
Менеджер проектов / Project manager (IT),https://hh.ru/vacancy/131199454?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Lasmart,Опыт от 3х лет в управлении,,
Координатор проекта в сфере IT,https://hh.ru/vacancy/131980686?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Сбер. IT,Понимание базовой терминологии в сфере,,
Руководитель IT проектов Game ( заказная разработка),https://hh.ru/vacancy/131542387?query=it&hhtmFrom=vacancy_search_list,Москва,Digital Lab,"Аналитический склад ума. - Ориентированность на результат. - Умение работать в Jira, Confluence, Figma. - Хорошая коммуникация. - Креативная составляющая приветствуется. Сопроводительное письмо и...",,
Архитектор IT - решений (Астра консалтинг),https://hh.ru/vacancy/131982813?query=it&hhtmFrom=vacancy_search_list,Москва,Группа компаний Астра,"Опыт проектирования решений с нуля и модернизации существующей инфраструктуры, в том числе с изменением продуктового стека. Знание принципов проектирования и...",,
Ведущий менеджер по продажам (IT сервисы),https://hh.ru/vacancy/131205611?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Таганский",Infobip,Опыт от 5-ти лет в активных продажах. Опыт в продажах,,
Project manager в It команду,https://hh.ru/vacancy/131374832?query=it&hhtmFrom=vacancy_search_list,"Ташкент, улица Мирзо Улугбека, 30",ООО Golden Pages,Опыт работы в управлении,,
Мастер в IT сервисный центр,https://hh.ru/vacancy/131982049?query=it&hhtmFrom=vacancy_search_list,Москва,АО БЕФА-ИТ,,,
