title,link,address,company,short_description,rich_description,salary,skils
Python-разработчик,https://hh.ru/vacancy/131992831?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО ИЦ АЙ-ТЕКО,"Опыт промышленной разработки на Python от полутора лет. Понимание принципов асинхронного программирования. Опыт работы с библиотеками: FastAPI, asyncpg, langchain, langgraph...",,"до 220 000 ₽ за месяц, на руки",
Python-разработчик,https://hh.ru/vacancy/131992787?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО ИЦ АЙ-ТЕКО,"Опыт промышленной разработки на Python от полутора лет. Понимание принципов асинхронного программирования. Опыт работы с библиотеками: FastAPI, asyncpg, langchain, langgraph...",,"до 220 000 ₽ за месяц, на руки",
Вайб-кодер,https://hh.ru/vacancy/131680816?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ОК-СТАФФ,"Высокая скорость написания и правки кода. Практический опыт разработки на JavaScript /TypeScript, Python или аналогичных языках программирования. Понимание принципов работы...",,,
Web-разработчик,https://hh.ru/vacancy/131705769?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Лин Айти,Мы рассматриваем кандидатов только с подтвержденным опытом. Технический стек: PHP: Уверенное знание (7.4+). Понимание хуков WordPress (actions/filters...,,,
Backend разработчик,https://hh.ru/vacancy/129299244?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Aiti Guru,Знание Python на уровне middle-,,,
ETL Разработчик,https://hh.ru/vacancy/131991236?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ЛИАН,"Опыт работы с Big Data инструментами (Hadoop, Spark). Опыт работы с облачными платформами (AWS, GCP, Azure). Опыт контейнеризации (Docker, Kubernetes).",,,
Бэкенд разработчик,https://hh.ru/vacancy/131258854?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Басманный",ООО ВЕЛЕС РИСЕРЧ,"Backend: Python, FastAPI / Django / Flask. Frontend: React, Vue, TypeScript. Базы данных: PostgreSQL, Redis. Контейнеризация: Docker. CI/CD: GitLab CI, GitHub.",,"60 000 – 80 000 ₽ за месяц, на руки",
Golang разработчик,https://hh.ru/vacancy/131205646?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Клируэй Текнолоджис,"Вдумчивость и понимание смысла своих решений: главный вопрос - ""зачем"". Способность к полной реализации фич от уровня хранения данных до микросервисов.",,"250 000 – 350 000 ₽ за месяц, на руки",
Разработчик C#,https://hh.ru/vacancy/129471202?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Bip.ru,Опыт коммерческой разработки на C# от 3 лет. Опыт работы с любой современной реляционной СУБД. Опыт создания Web API.,,"до 250 000 ₽ за месяц, на руки",
Android-разработчик,https://hh.ru/vacancy/131872198?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,АО Центр Биометрических Технологий,"От 2 лет опыта в Android-разработке — Java или Kotlin (Kotlin — наш основной стек). - Умение писать чистый, поддерживаемый код важнее...",,,
Старший разработчик RPA,https://hh.ru/vacancy/130374922?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Замоскворечье",Газпромбанк,"1. Высшее техническое образование, желательно IT. 2. Глубокое понимание архитектуры платформ RPA. 3. Опыт промышленного внедрения роботов на PIX, UiPath...",,,
Разработчик C++,https://hh.ru/vacancy/131540029?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО ИКС ЛАБЗ,"...в целом (производительность, стабильность). Навыки оценки задач и соблюдения сроков. Опыт написания и поддержки технической документации. Готовность помогать junior-",,"150 000 – 200 000 ₽ за месяц, на руки",
