title,hh_link,address,company,short_description,experience,salary
Middle frontend-разработчик,https://hh.ru/vacancy/89514991?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Бизнес Технологии,"Уверенное знание HTML, CSS, JavaScript. — Опыт работы с React, Vue или Angular на профессиональном уровне. — Понимание принципов построения SPA и...",Опыт 3-6 лет,
Инженер-схемотехник/Разработчик радиоэлектронной аппаратуры (РЭА),https://hh.ru/vacancy/131216229?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,АО Концерн Океанприбор,"Инженер 3 категории (рассматриваются студенты старших курсов, окончившие институт или последний курс): разработка отдельных модулей под руководством наставника.",Без опыта,"50 000 – 80 000 ₽ за месяц, на руки"
Ведущий разработчик 1С / Программист 1С,https://hh.ru/vacancy/131203970?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,efin,"Опыт в программировании на платформе 1С 8 от 3 лет. Опыт доработок нетиповых конфигураций 1С 8, а также...",Опыт 3-6 лет,
Программист микроконтроллеров (Инженер-программист в отдел разработки РЭА),https://hh.ru/vacancy/131984948?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,PERCo,"Уверенное знание языков C/C++ и опыт программирования на них. Понимание архитектуры микроконтроллеров ARM Cortex‑M (M0, M4).",Опыт 1-3 года,
Инженер-программист C++/Qt,https://hh.ru/vacancy/131983737?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ТМХ ТМ,"Опыт работы от 1 года в области программирования и разработки (Qt 4/5/6, С++). Знание С/С++.",Опыт 1-3 года,"от 80 000 ₽ за месяц, на руки"
Ведущий инженер-программист микроконтроллеров,https://hh.ru/vacancy/131983945?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ТМХ ТМ,Высшее профессиональное техническое образование (специалист или магистратура). Практический опыт разработки ПО МК от 3 лет. Уверенное знание языка программирования С.,Опыт 3-6 лет,"100 000 – 200 000 ₽ за месяц, до вычета налогов"
Senior fullstack java developer,https://hh.ru/vacancy/115792803?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Бизнес Технологии,"Уверенное знание Java SE (Готовы рассмотреть переход с других языков, таких как Python, NodeJs, С++, Delphi). Уверенное знание ООП или...",Опыт более 6 лет,
Java/Kotlin Developer (Spring),https://hh.ru/vacancy/128793700?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ITACWT,Опыт коммерческой разработки back-end на Java/Kotlin от 3 лет. Опыт работы с Spring Framework. Опыт работы с реляционными...,Опыт 3-6 лет,
PHP Symfony Developer (Senior),https://hh.ru/vacancy/128793625?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ITACWT,Знание PHP (мы используем 8.3 ) и ООП. Опыт разработки проектов на Symfony более 3 лет. Опыт работы с реляционными...,Опыт 3-6 лет,
"Junior Frontend разработчик в Рег.облако, выделенные серверы (Vue.js)",https://hh.ru/vacancy/131373594?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Рунити,"Опыт коммерческой разработки от 1-го года. Уверенные знания JavaScript. Понимание фундаментальных концепций и того, как работает DOM.",Опыт 1-3 года,
PHP-разработчик (Fullstack),https://hh.ru/vacancy/131677076?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Компания А25,"Знание PHP, в том числе PHP7 и понимание ООП. Знание HTML и CSS. Знание bootstrap и навыки кроссбраузерной верстки.",Опыт 1-3 года,
Middle/Senior Roblox Developer (Lua/Luau),https://hh.ru/vacancy/132005319?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Полиховский Александр Павлович,Отличное знание Roblox API и Luau. Понимание принципов OOP и модульной архитектуры. Умение работать с Rojo (будет большим плюсом).,Опыт 1-3 года,"700 – 2 000 $ за месяц, до вычета налогов"
Junior AI разработчик,https://hh.ru/vacancy/131516498?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,"585, Холдинг","Также Студент старших курсов или магистратуры (Прикладная математика, Computer Science, Физтех и смежные направления). - Уверенные знания в области линейной алгебры...",Без опыта,
Бэкенд-разработчик (java),https://hh.ru/vacancy/131960683?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЛИПТ Софт,"CI / CD: Git / Gitlab Ci. Spring Boot (Spring Web, Spring Data, Spring Security). Junit 5, Mockito.",Опыт 1-3 года,"до 220 000 ₽ за месяц, на руки"
Программист 1С (Производство),https://hh.ru/vacancy/125699610?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Встек,Навыки разработки (конфигурирования) в среде 1С:Предприятие. Знание по способам формирования обработок и отчётов в 1С.,Опыт 3-6 лет,"от 150 000 ₽ за месяц, на руки"
"Разработчик (бэкенд, Symfony)",https://hh.ru/vacancy/131453080?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Университет ИТМО,"Знание PHP >= 7.1 версии, composer. Знание HTML, CSS, JS - на уровне чтения и понимания. Знание SQL. Уверенное знание фреймворка...",Опыт 3-6 лет,
Разработчик встраиваемых систем,https://hh.ru/vacancy/131257213?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,"ТАЙПИТ, Торгово-промышленная группа","Высшее техническое образование, коммерческий опыт в Embedded-разработке от 3 лет. Уверенное владение C и C++ (ООП, структуры данных, паттерны...",Опыт более 6 лет,
Senior Backend Developer (Kotlin),https://hh.ru/vacancy/131994931?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Kinetica,Опыт коммерческой разработки back-end на Java/Kotlin от 3 лет. Опыт работы с ktor. Умение читать и понимать чужой...,Опыт 3-6 лет,
Middle+ Backend Developer (Go),https://hh.ru/vacancy/131824282?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Астана, проспект Кабанбай Батыра, 47/2",ООО Грин-Апи,Разбираться в работе сторонних протоколов и API. Опыт бэкенд-разработки от 3 лет. Уверенное владение Node.js или Go (в идеале...,Опыт 3-6 лет,
Front-end разработчик,https://hh.ru/vacancy/131954251?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Киноафиша инфо,"HTML5 + CSS3 (адаптивная, кроссбраузерная вёрстка). Хорошее знание JavaScript. Опыт использования GIT, работы в консоли UNIX.",Опыт 1-3 года,"100 000 – 150 000 ₽ за месяц, на руки"
Разработчик игр в международной компании,https://hh.ru/vacancy/131968697?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Darktheme Studios,"Практический опыт в разработке игр (подразумеваем, что у вас уже есть завершенные игровые проекты на любом из движков).",Опыт 1-3 года,
Инженер-технолог-программист / наладчик,https://hh.ru/vacancy/131804988?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЭКСПРЕСС,Высшее техническое образование. Уверенное пользование CAD/CAM-системами. Опыт работы на инженерных специальностях на машиностроительных предприятиях от 3х лет...,Опыт 1-3 года,
