title,hh_link,address,company,short_description,experience,salary
Тестировщик-установщик оборудования,https://hh.ru/vacancy/131238100?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Кировский",ИП Долганов Роман Алексеевич,Ответственный подход к рабочему процессу. Пунктуальность. Внимательность и активность в процессе работы.,Без опыта,
Senior QA engineer/Ведущий Тестировщик,https://hh.ru/vacancy/132001496?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Паттернмастерс,Знание методов и методик тестирования. Отличное понимание пользовательского опыта в мобильных играх. Понимание клиент-серверного взаимодействия. Знание основных инструментов тестирования.,Опыт 3-6 лет,
Помощник тестировщика техники,https://hh.ru/vacancy/131234398?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Уфа, р-н Октябрьский",ИП Холод Андрей Николаевич,Внимательность! Сообразительность! Ответственное отношение к работе! Дисциплинированность! Желание развиваться!,Без опыта,"80 000 – 130 000 ₽ за месяц, на руки"
Тестировщик ПО/ QA engineer,https://hh.ru/vacancy/131988510?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Надёжные системы,"Опыт ручного тестирования от 1 года (mobile, backend). Навыки работы с приложениями/сервисами для управления проектами, задачами (по типу Notion...",Опыт 1-3 года,
Тестировщик QA middle/middle+ (СПР),https://hh.ru/vacancy/131999514?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,СберЛизинг,Опыт в ручном функциональном тестировании от 3-х лет. Знание и применение техники тест-дизайна. Опыт работы с Kafka и...,Опыт 3-6 лет,
Ассистент инженера-тестировщика,https://hh.ru/vacancy/131186251?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,NiceRemMoscow,"Ответственность, обучаемость, активность и внимательность.",Без опыта,
Junior QA инженер (тестировщик),https://hh.ru/vacancy/131866026?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Дубна, улица Программистов, 4с3",ООО Клауд Ком,"Основных типов тестирования. JSON, XML, XSD, rest- и web- сервисы. Опыт ручного и автоматизированного тестирования. Опыт работы с любой багтрекинговой...",Опыт 1-3 года,
QA Engineer / Тестировщик ПО,https://hh.ru/vacancy/131248110?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Минск,ООО Кредитон,"Профильное образование IT-образование и / или окончание специализированных курсов (IT-Academy, TMS и др.). Техническая база: понимание теории тестирования (техники...",Опыт 1-3 года,
Младший тестировщик ПО / Junior QA Engineer,https://hh.ru/vacancy/129291482?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Ростов-на-Дону, р-н Октябрьский",TrueConf,Понимание методологии и принципов тестирования ПО. Знание общих принципов организации разработки ПО. Желание учиться чему-то новому каждый день.,Без опыта,
Функциональный аналитик и тестировщик,https://hh.ru/vacancy/131194076?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Фонд Росконгресс подразделение в г. Санкт-Петербурге,"Высшее образование. Английский язык В1 и выше. Умение четко и ясно излагать свои мысли, грамотность, внимательность, аналитический склад ума.",Опыт 1-3 года,"от 78 500 ₽ за месяц, до вычета налогов"
Senior QA Engineer,https://hh.ru/vacancy/132000955?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Сербия,COMTEK Inc.,"Используйте свое понимание системного, регрессионного, интеграционного, эксплуатационного и пользовательского тестирования. - 8 лет или более опыта тестирования программного обеспечения с использованием...",Опыт более 6 лет,"5 500 – 6 000 $ за месяц, до вычета налогов"
QA Engineer Middle,https://hh.ru/vacancy/131884936?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Минск, улица Академика Купревича, 3",СИСТЕМНЫЕ ТЕХНОЛОГИИ,"Знание жизненного цикла разработки ПО и места тестирования в нем. Опыт тестирования web/мобильных приложений от 1,5 лет.",Опыт 1-3 года,
QA Engineer (Middle),https://hh.ru/vacancy/131270389?query=%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Rusprofile,Опыт работы в качестве,Опыт 3-6 лет,
