title,hh_link,address,company,short_description,experience,salary
Аккаунт-менеджер в IT компанию (B2B),https://hh.ru/vacancy/131949339?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Компания Апогей (Техподдержка 1С),"Опыт: Опыт в продажах и переговорах будет преимуществом, но не является обязательным. Знания в",Без опыта,
"Стажер (продажи, аналитика, IT)",https://hh.ru/vacancy/131115961?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Медико-фармацевтический дистрибьютор,"Высшее образование по специальностям: фармацевтика, статистика, математика, экономика,",Без опыта,
"Менеджер по продажам и тендерам (Компьютерная техника, IT-оборудование)",https://hh.ru/vacancy/130972156?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Страел,Имеет опыт в активных продажах. Понимает или готов быстро разобраться в тендерах. Умеет работать с поставщиками и влиять на себестоимость.,Без опыта,"80 000 – 150 000 ₽ за месяц, на руки"
Бизнес аналитик/менеджер проекта (IT-проект / Разработка системы аналитики),https://hh.ru/vacancy/131956421?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,"ООО HotelAdvisors, Hospitality Management & Consulting",Имеет опыт работы бизнес аналитиком и управления проектами в сфере разработки ПО от 3-х лет. - Понимает цикл разработки и...,Опыт 3-6 лет,"140 000 – 150 000 ₽ за месяц, на руки"
Руководитель IT проектов (1С),https://hh.ru/vacancy/128790926?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,СофтБаланс,...реализованных,Опыт 3-6 лет,
Начальник группы подбора IT персонала,https://hh.ru/vacancy/131927458?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Специальный Технологический Центр (ООО СТЦ),Понимание рынка,Опыт 3-6 лет,
Руководитель направления (IT),https://hh.ru/vacancy/131031084?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,...от 3-х лет. Работал с B2B-клиентами в сфере,Опыт 3-6 лет,
Менеджер по продажам в IT-компанию,https://hh.ru/vacancy/129772869?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО АйТи-Солюшн,...продажах и влиять на свой доход. Способность к обучению и освоению нового. Клиентоориентированность. Системное мышление. Опыт продаж в,Опыт 1-3 года,
Руководитель IT проектов,https://hh.ru/vacancy/119227637?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,СОЛВО,"Опытом внедрения ПО корпоративного уровня в качестве менеджера проекта. Пониманием процессов разработки ПО. Развитыми коммуникативными навыками, умением вести переговоры с...",Опыт 3-6 лет,
Ведущий системный администратор/Руководитель IT-отдела,https://hh.ru/vacancy/130412260?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Медико-фармацевтический дистрибьютор,Высшее образование по профилю. Опыт работы системным администратором от 3-х лет. Опыт руководства группой сотрудников в т.ч.,Опыт 3-6 лет,
Начинающий специалист технической поддержки L2 (IT) / 2 уровень технической поддержки,https://hh.ru/vacancy/131955492?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,Готовность быстро осваивать продукт и постоянно учиться новому. Желание развиваться в,Без опыта,
Менеджер по продажам в IT компанию,https://hh.ru/vacancy/131924782?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ИП Авдощенко Евгений Викторович (Mode-web),Уверенное владение ПК (разберешься в CRM за пару дней). Будет преимуществом: Опыт работы в,Опыт 3-6 лет,"от 120 000 ₽ за месяц, на руки"
Продюсер в EdTech / IT (несколько продуктов),https://hh.ru/vacancy/131912547?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Интеллектуал Групп,Опыт в инфобиз от 3 лет. Есть портфолио с продюсированными вами проектами. Приветствуется опыт нише в EdTech или,Опыт 3-6 лет,"200 000 – 300 000 ₽ за месяц, на руки"
Шофер в IT-сервис на автомобиле компании по развозу малогабаритных посылок и документов,https://hh.ru/vacancy/131957897?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ИП Кондратьев Андрей Аркадьевич,Компактные и аккуратные заказы. -Права категории B. -Смартфон (iOS/Android). -Желание работать и зарабатывать.,Без опыта,"до 275 000 ₽ за месяц, до вычета налогов"
