title,hh_link,address,company,short_description,experience,salary
Специалист поддержки клиентов в IT компанию,https://hh.ru/vacancy/132004752?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Хьюнет,Ты умеешь объяснять сложное простым и понятным языком. У тебя грамотная письменная речь. Ты готов ежедневно помогать клиентам.,Опыт 1-3 года,
Универсальный IT-специалист / веб-разработчик,https://hh.ru/vacancy/131884553?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ТД Сорса,"Обязательный опыт разработки сайтов с нуля. Уверенные знания HTML, CSS, JavaScript. Опыт работы с CMS. Базовые знания backend (PHP, Python...",Опыт 1-3 года,"180 000 – 200 000 ₽ за месяц, на руки"
Оператор техподдержки в IT-компании,https://hh.ru/vacancy/131999705?query=it&hhtmFrom=vacancy_search_list,Москва,HRprofi (ИП Ершов Артем Витальевич),,Без опыта,"38 000 – 67 000 ₽ за месяц, на руки"
IT Product Manager / R&D Manager,https://hh.ru/vacancy/130020216?query=it&hhtmFrom=vacancy_search_list,Гуанчжоу,MAREE,"Опыт работы Product Manager / Project Manager. Умение вести 5–10 проектов параллельно и не терять темп. Сильную системность: статусы, этапы...",Опыт 3-6 лет,
Менеджер IT проектов,https://hh.ru/vacancy/131525237?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Евролос,Понимание принципов управленческого и бухгалтерского учета. Понимание основных принципов построения интеграций между различными информационными системами. Понимание базовых принципов работы операционных...,Опыт 1-3 года,"от 150 000 ₽ за месяц, на руки"
Менеджер по продажам IT-оборудования,https://hh.ru/vacancy/131883154?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Квантум,Опыт работы менеджером по продаже,Опыт 3-6 лет,"от 200 000 ₽ за месяц, на руки"
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131254569?query=it&hhtmFrom=vacancy_search_list,Москва,efin,Глубокое понимание архитектуры корпоративной,Опыт 3-6 лет,
Менеджер IT-проектов (пресейл инженер),https://hh.ru/vacancy/131881561?query=it&hhtmFrom=vacancy_search_list,Москва,"Крипто-Про, Компания","Высшее техническое образование. Понимание процессов создания, внедрения и развития ИТ-продуктов. Знание процессов пресейла и проектной деятельности. Широкий кругозор в...",Опыт 1-3 года,"160 000 – 250 000 ₽ за месяц, до вычета налогов"
Менеджер по продажам (IT),https://hh.ru/vacancy/131379246?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Тверской",MT global,"Ты отлично разбираешься в ИТ-рынке, знаешь технологии продаж в этой отрасли - интеграция и мультимедийные решения. У тебя есть большой...",Опыт 3-6 лет,"150 000 – 250 000 ₽ за месяц, на руки"
Начальник управления/ IT бизнес-партнёр,https://hh.ru/vacancy/131978155?query=it&hhtmFrom=vacancy_search_list,Москва,"ПАО ВТБ, Розничный бизнес","Высшее образование (финансы и кредит/ экономическое/ техническое). Опыт работы от 5-ти лет в управлении ИТ- проектами, стратегическом развитии, продуктовой...",Опыт более 6 лет,
Менеджер по продажам IT-оборудования,https://hh.ru/vacancy/131824292?query=it&hhtmFrom=vacancy_search_list,Москва,Айти-тех,Успешный опыт в В2В продажах: области,Опыт 1-3 года,"100 000 – 300 000 ₽ за месяц, на руки"
Менеджер по закупкам (IT-оборудование),https://hh.ru/vacancy/131995627?query=it&hhtmFrom=vacancy_search_list,Москва,Ateuco,Опыт работы в сфере закупок ИТ-оборудования. Способность анализировать потребности компании и формировать спецификации заказов. Понимание процессов тендеров и конкурентных...,Опыт 3-6 лет,
"Специалист технической поддержки (IT, продукт)",https://hh.ru/vacancy/131264823?query=it&hhtmFrom=vacancy_search_list,Москва,YouGile,Сильное желание помогать клиентам (врожденная эмпатия). Опыт работы в технической поддержке. Умение чётко выражать мысли в тексте. Самоорганизация для эффективной...,Опыт 3-6 лет,
Системный администратор/IT Technician digital workplace,https://hh.ru/vacancy/132000389?query=it&hhtmFrom=vacancy_search_list,Москва,Барри Каллебаут НЛ Раша,"Key Skills: Ability to turn complex concepts into actionable strategies, lead",Опыт 1-3 года,
Системный администратор/IT Technician digital workplace,https://hh.ru/vacancy/132000390?query=it&hhtmFrom=vacancy_search_list,Москва,Барри Каллебаут НЛ Раша,"Key Skills: Ability to turn complex concepts into actionable strategies, lead",Опыт 1-3 года,
Системный администратор/IT Technician digital workplace,https://hh.ru/vacancy/132000391?query=it&hhtmFrom=vacancy_search_list,Москва,Барри Каллебаут НЛ Раша,"Key Skills: Ability to turn complex concepts into actionable strategies, lead",Опыт 1-3 года,
Представитель IT-компании (Амбассадор бренда),https://hh.ru/vacancy/131706951?query=it&hhtmFrom=vacancy_search_list,Москва,Afonin Consulting,,Опыт более 6 лет,"140 000 – 450 000 ₽ за месяц, до вычета налогов"
Менеджер по продажам IT решений,https://hh.ru/vacancy/131726647?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Ассистент,Опыт в B2B-продажах и знание технологий продаж. Опыт работы в продажах программ 1С и услуг по...,Опыт 1-3 года,
Кладовщик-комплектовщик на склад IT/Заместитель руководителя,https://hh.ru/vacancy/131274696?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Бутырский",ООО Компания АрмИТ,Знание ПК (пользователь). Опыт складской работы на складе,Опыт 3-6 лет,
Ассистент руководителя в IT компанию,https://hh.ru/vacancy/131991597?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Дэстэн Партнерс,"Опыт работы бизнес-ассистентом от 1 года (будет преимуществом). Продвинутый уровень Google Docs, Excel. Ориентация на результат, ответственность, внимательность к...",Без опыта,"от 120 000 ₽ за месяц, на руки"
Руководитель продаж IT-решений (играющий тренер),https://hh.ru/vacancy/131827528?query=it&hhtmFrom=vacancy_search_list,Москва,Адвантум,Усиливать продажи через практику и личный пример. У вас есть опыт переговоров с собственниками и топ-менеджерами компаний.,Опыт 3-6 лет,
Менеджер по продажам IT оборудования,https://hh.ru/vacancy/131871458?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Мир Электроники и Техники,Опыт работы в продажах,Опыт 1-3 года,
Юрисконсульт (IT),https://hh.ru/vacancy/131728064?query=it&hhtmFrom=vacancy_search_list,Москва,CloudPayments,"Опыт юридической работы — от 3 лет, включая не менее 1 года в fintech, e-commerce или",Опыт 3-6 лет,
"Менеджер по продажам (IT продукт, B2C)",https://hh.ru/vacancy/131717564?query=it&hhtmFrom=vacancy_search_list,Москва,Olima,Опыт в продажах от 2 лет. Понимание,Опыт 3-6 лет,
"Стажер (продажи, аналитика, IT)",https://hh.ru/vacancy/131852137?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Пресненский",ООО Медико-фармацевтический дистрибьютор,"Высшее образование по специальностям: фармацевтика, статистика, математика, экономика,",Без опыта,"от 92 000 ₽ за месяц, до вычета налогов"
"Стажер (продажи, аналитика, IT)",https://hh.ru/vacancy/131852137?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Пресненский",ООО Медико-фармацевтический дистрибьютор,"Высшее образование по специальностям: фармацевтика, статистика, математика, экономика,",Без опыта,"от 92 000 ₽ за месяц, до вычета налогов"
IT-специалист,https://hh.ru/vacancy/131961473?query=it&hhtmFrom=vacancy_search_list,Москва,Филиал ФКУ Налог-Сервис ФНС России в г. Москве,"Желание развиваться в области ИТ. Обучаемость, внимательность, стрессоустойчивость. Аналогичный опыт работы от 1 года. Опыт обслуживания оргтехники. Знание стека протоколов...",Без опыта,
Заместитель декана по IT технологиям,https://hh.ru/vacancy/131959729?query=it&hhtmFrom=vacancy_search_list,Москва,Московский финансово-юридический университет МФЮА,"Обязателен опыт работы в образовательных организациях в качестве специалиста деканата, специалиста кафедры по",Опыт 3-6 лет,
Менеджер по продажам (IT-продукт),https://hh.ru/vacancy/131701465?query=it&hhtmFrom=vacancy_search_list,Москва,ИП Костров Иван Александрович,,Опыт 1-3 года,"75 000 – 150 000 ₽ за месяц, на руки"
Менеджер по продажам (IT оборудование),https://hh.ru/vacancy/131202310?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Ф-Групп,"Опыт работы в смежных сферах, особенно в",Опыт 1-3 года,
IT-специалист,https://hh.ru/vacancy/131960350?query=it&hhtmFrom=vacancy_search_list,Москва,Rutek Group,"Опыт работы от 1 года. Владение ОС Windows, умение настраивать пользовательское ПО. Опыт администрирования, создание/ удаление учетных записей, диагностика сетевых...",Опыт 1-3 года,"120 000 ₽ за месяц, на руки"
"Менеджер склада (м. Добрынинская, IT-компания ЛЕММА)",https://hh.ru/vacancy/131614740?query=it&hhtmFrom=vacancy_search_list,Москва,Первый Бит,Внимательность к деталям и любовь к порядку. Ответственный подход к работе. Умение систематизировать процессы. Уверенное владение ПК и готовность быстро...,Без опыта,"80 000 – 89 250 ₽ за месяц, до вычета налогов"
"IT-менеджер / Веб-разработчик (PHP, MODX, JS)",https://hh.ru/vacancy/132001415?query=it&hhtmFrom=vacancy_search_list,Москва,Меди Экспо,"Опыт коммерческой верстки сайтов (HTML5, CSS3, адаптив/кроссбраузерность). Знание PHP и JavaScript, Опыт работы с CMS MODX приветствуется.",Опыт 1-3 года,"80 000 ₽ за месяц, на руки"
