title,hh_link,address,company,short_description,experience,salary
Аналитик данных,https://hh.ru/vacancy/131952086?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Москва, р-н Дорогомилово",СберСпасибо,Знакомство с архитектурой ПО и математическими алгоритмами. Приветствуется: Опыт разработки хранилищ,Опыт 3-6 лет,
Аналитик данных,https://hh.ru/vacancy/131611910?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Ош, улица Мырзалы Аматова, 1Б",ОсОО Апселл групп,Уверенное владение Google Sheets / Excel. Опыт работы с большими таблицами,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131782498?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Алматы, проспект Достык, 210",ТОО PKF Audit & Assurance,"Опыт работы в соответствующей сфере: 2–3 года. Высшее образование (финансы, экономика, бухгалтерский учет). Опыт работы 2-3 года в...",Опыт 1-3 года,
Аналитик данных (аналитика продаж и маркетинга),https://hh.ru/vacancy/131364184?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"Ташкент, улица Бабура, 74",ИП ООО FAST FOOD SYSTEMS,Опыт работы в финансовой,Опыт 3-6 лет,
Аналитик,https://hh.ru/vacancy/130481125?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,ФГБУ ИАЦ МЧС РОССИИ,Понимание принципов организации баз,Опыт 3-6 лет,
"Аналитик данных (Python, SQL, Apache Superset)",https://hh.ru/vacancy/131990129?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Центральный банк Российской Федерации (Банк России),с большими массивами,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131607371?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"деревня Королищевичи, Свислочская улица, 21",ООО Алюсофт,Глубокие знания на уровне работы с большими массивами,Опыт 1-3 года,
Аналитик данных,https://hh.ru/vacancy/131947251?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Сбер. IT,"Свободное владение SQL, Python (Pandas, NumPy), Spark для работы с терабайтами",Опыт 3-6 лет,
Technical service Data Analyst/Дата аналитик,https://hh.ru/vacancy/132000096?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,рабочий посёлок Чердаклы,ООО Марс,...BI (включая Dataflows и модели,Опыт 1-3 года,
Аналитик данных в сфере финансового мониторинга (ПОД/ФТ),https://hh.ru/vacancy/129725305?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Москва,Центральный банк Российской Федерации (Банк России),Высшее оконченное образование. Продвинутые навыки SQL на любой платформе (MS SQL Server / Oracle Database / PostgreSQL). Глубокое знание Excel (cводные таблицы...,Опыт 3-6 лет,
