title,hh_link,address,company,short_description,experience,salary
Backend-разработчик,https://hh.ru/vacancy/131964448?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Айтисокет,Базовые знания одного из языков программирования (Python / Java / Node.js / PHP / Go). Понимание принципов работы клиент-серверной архитектуры. Знание основ работы...,Без опыта,"от 100 000 ₽ за месяц, на руки"
Аналитик данных/программист,https://hh.ru/vacancy/131990294?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Курган, р-н Центральный",ТФ ОМС Курганской области,"Знание языков/стандартов , SQL. Знания и опыт работы хотя бы с одной из СУБД PostgreSQL, Oracle, MSSQL, Firebird (Interbase), MySQL.",Без опыта,"от 40 000 ₽ за месяц, на руки"
Java-разработчик,https://hh.ru/vacancy/123590525?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Сочи,Т-Банк. ИТ. Разработка,Опыт разработки на Java от 3 лет. Опыт коммерческой разработки на Java 11+ или Kotlin. Опыт коммерческой разработки с...,Опыт 3-6 лет,
Java-разработчик,https://hh.ru/vacancy/123590786?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Таганрог,Т-Банк. ИТ. Разработка,Опыт разработки на Java от 3 лет. Опыт коммерческой разработки на Java 11+ или Kotlin. Опыт коммерческой разработки с...,Опыт 3-6 лет,
Java-разработчик,https://hh.ru/vacancy/123590935?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Ростов-на-Дону,Т-Банк. ИТ. Разработка,Опыт разработки на Java от 3 лет. Опыт коммерческой разработки на Java 11+ или Kotlin. Опыт коммерческой разработки с...,Опыт 3-6 лет,
Разработчик Embedded STM32 C/C++,https://hh.ru/vacancy/126417143?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Радиофид,"Опыт разработки на C/C++ от 2-3 лет. Опыт программирования микроконтроллеров STM32. Знание основ работы с сенсорами, протоколами...",Опыт 1-3 года,
Программист 1C,https://hh.ru/vacancy/131383720?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Алматы,АО NOMAD insurance,Знания языка запросов и встроенного языка программирования 1С. Знания схемы компоновки данных(СКД) желательно. Навыки работы с отладчиком 1...,Опыт 3-6 лет,
Инженер-программист ПЛИС,https://hh.ru/vacancy/131871628?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Минск,ОАО Пеленг,"Опыт работы с ПЛИС, знание и практические навыки работы Verilog /VHDL. Опыт разработки системам на базе FPGA. Опыт работы в...",Опыт 1-3 года,
Инженер-программист АСУ ТП,https://hh.ru/vacancy/131396433?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Краснодар, р-н Карасунский",ООО ТДНТ Инжиниринг,"Опыт работы в пищевой отрасли 1-3 года на позициях «Инженер АСУ ТП», «Инженер-",Опыт 3-6 лет,"до 200 000 ₽ за месяц, на руки"
Разработчик,https://hh.ru/vacancy/118990654?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ГравиЛинк,имели твёрдые фундаментальные знания математики и информационных технологий. - имели реальный опыт программирования на любом объектно-ориентированном языке (не в учебных...,Опыт 3-6 лет,
Администратор сайта / Web-разработчик,https://hh.ru/vacancy/131629975?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Можайский",Профсейф,Опыт работы Администратором сайта / Web-,Опыт 1-3 года,
Frontend-разработчик,https://hh.ru/vacancy/131963510?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Бишкек, проспект Чуй, 164А",ООО Центр независимой оценки и аналитики Бизнес-Эксперт,Коммуникация. - Умение работать в тесной связке с аналитиками и backend-,Опыт 3-6 лет,
Разработчик Java в Биллинг Маркета,https://hh.ru/vacancy/130075592?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Яндекс.Маркет,"Мы работаем с терабайтами данных в PG и YT. В нашей кодовой базе минимум legacy, а с остатками мы активно...",Опыт 3-6 лет,
