title,link,address,company,short_description,rich_description,salary,skils
UX/UI-дизайнер,https://hh.ru/vacancy/131298203?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Advline,"Не менее двух лет комерческого опыта в веб дизайне. — Знание Figma, Adobe Photoshop, Sketch, или других инструментов для",,,
Product / Data Designer (UX/UI),https://hh.ru/vacancy/131588398?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ИП Жиляев Виктор Олегович,"думает как продукт, а не только как",,,
UX/UI-дизайнер (GameDev),https://hh.ru/vacancy/131344230?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Смарт Геймс Девелопмент,Владение Figma и Adobe Photoshop на профессиональном уровне. Насмотренность и глубокое понимание,,,
Lead UI/UX Designer (FPS) Gamedev,https://hh.ru/vacancy/131614898?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Saber Interactive,...области дизайна,,,
Дизайнер UI/UX,https://hh.ru/vacancy/131193149?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ИП Магадеев Владимир Сергеевич,Опыт работы,,,
UX/UI-дизайнер,https://hh.ru/vacancy/131135387?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ИП Абаскулиева Елена Рафаиловна,"Самостоятельность и готовность к ревью. Тебе доверяют решения, но каждый макет пройдёт тщательное обсуждение. ---. Будет плюсом. - Опыт с AI-инструментами...",,"от 120 000 ₽ за месяц, до вычета налогов",
Дизайнер,https://hh.ru/vacancy/131596222?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Аквилон,"Понимание основ компоновки, оформления текста и работы с цветом. Понимание основ",,,
Продуктовый дизайнер (UX/UI),https://hh.ru/vacancy/131226391?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,MPSTATS,Коммерческий подтвержденный опыт,,,
Product/UI-дизайнер,https://hh.ru/vacancy/131182622?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Триайти,"Ориентир — уровень Linear, Vercel, Raycast, Notion. Обязательные навыки: Современный визуальный язык — это ключевое. Кандидат должен делать интерфейсы, которые выглядят так...",,,
Ведущий UX/UI-дизайнер (веб и мобильная разработка),https://hh.ru/vacancy/131394118?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Coding Team,Используете нейросети в работе. Четкое понимание,,"160 000 – 180 000 ₽ за месяц, на руки",
UX/UI-дизайнер (Middle+/Senior),https://hh.ru/vacancy/131217673?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,Более 3 лет опыта работы,,,
Дизайнер,https://hh.ru/vacancy/131101702?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Цитадель,"Умение работать в команде, договариваться и аргументировать свои решения. Навыки проектирования от контекста. Контекста, в котором пользователь работает с интерфейсом.",,,
Дизайнер,https://hh.ru/vacancy/131482144?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,НИИ Вектор,"...или программами для неё. Навыки моушн‑дизайна. Базовые знания веб‑дизайна (Figma, основы",,,
Product Designer,https://hh.ru/vacancy/131877811?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Софтвайс,Английский язык не ниже уровня B2. Будет плюсом: Портфолио с кейсами по,,"до 220 000 ₽ за месяц, на руки",
Веб-дизайнер (уровень middle),https://hh.ru/vacancy/130835047?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Bono Digital x Creative,"Уверенные знания в Figma, Adobe Photoshop и Adobe Illustrator. Плюсом будут знания Tilda и Midjourney. Опыт от 2х лет...",,,
Веб-дизайнер,https://hh.ru/vacancy/129806845?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Яндекс Крауд: Контент,Имеете опыт работы веб-,,,
Middle Game designer / Гейм-дизайнер,https://hh.ru/vacancy/130036240?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Челябинск, р-н Калининский",ROCKSTONE,Знание аналитики на высоком уровне и возможность самостоятельно проводить анализ фичей. Умение рассчитать баланс. Понимание основ,,,
Team Lead команды графических дизайнеров,https://hh.ru/vacancy/131631811?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЦЕХ Дизайн,опыт работы тимлидом / арт-директором от 1 года. Умение выстраивать работу команды и давать понятную обратную связь. Опыт оценки задач...,,,
Web-дизайнер (лендинги),https://hh.ru/vacancy/131503563?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Ленремонт,"Владение современными стилями дизайна: Glassmorphism (стеклянный дизайн), Neomorphism, минимализм. Знание принципов",,,
Дизайнер,https://hh.ru/vacancy/129871482?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЛДЦ МИБС,"профессиональное владение следующими программами: Adobe Photoshop, Illustrator, InDesign, другими — опционально. - понимание основ",,"75 000 – 85 000 ₽ за месяц, на руки",
Графический дизайнер (Middle),https://hh.ru/vacancy/131481603?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,HuntIT,Опыт работы по брендбуку и гайдлайнам. Наличие портфолио. Базовые навыки,,,
Коммуникационный дизайнер,https://hh.ru/vacancy/131328326?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Вайт Код,Навыки использования нейросетей в работе. Аккуратность и внимание к деталям. Умение системно работать с задачами разного масштаба и сложности.,,,
SEO-специалист,https://hh.ru/vacancy/130979271?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Парконика,"Высшее образование. Примеры успешных и неуспешных кейсов с анализом причин. Опыт администрирования сайтов (продление доменных имён, создание копий и проч...",,"130 000 – 200 000 ₽ за месяц, на руки",
